========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_8_dense_1_dense_1_10
pretrain_path: data/sparse_8_dense_1_dense_1_10/ae_gamma_1.0_nz_10_update_3.pkl
gamma: 1.0
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.5010, NMI 0.3960, ARI 0.2484, Δlabel 0.0000
Iter 003: Acc 0.4850, NMI 0.2789, ARI 0.0981, Δlabel 0.1648
Iter 006: Acc 0.5121, NMI 0.2430, ARI 0.0605, Δlabel 0.0831
Iter 009: Acc 0.5089, NMI 0.2297, ARI 0.0421, Δlabel 0.0259
Iter 012: Acc 0.4789, NMI 0.2224, ARI 0.0189, Δlabel 0.0360
Iter 015: Acc 0.4491, NMI 0.2650, ARI 0.0707, Δlabel 0.0996
Iter 018: Acc 0.4231, NMI 0.2745, ARI 0.0820, Δlabel 0.0390
Iter 021: Acc 0.4819, NMI 0.3251, ARI 0.1584, Δlabel 0.1109
Iter 024: Acc 0.5218, NMI 0.3472, ARI 0.1947, Δlabel 0.0571
Iter 027: Acc 0.5114, NMI 0.3338, ARI 0.1760, Δlabel 0.0213
Iter 030: Acc 0.5051, NMI 0.3304, ARI 0.1701, Δlabel 0.0090
Iter 033: Acc 0.4972, NMI 0.3258, ARI 0.1625, Δlabel 0.0117
Iter 036: Acc 0.4922, NMI 0.3208, ARI 0.1551, Δlabel 0.0094
Iter 039: Acc 0.4947, NMI 0.3193, ARI 0.1537, Δlabel 0.0041
Iter 042: Acc 0.4981, NMI 0.3176, ARI 0.1525, Δlabel 0.0053
Iter 045: Acc 0.5031, NMI 0.3189, ARI 0.1554, Δlabel 0.0059
Iter 048: Acc 0.5018, NMI 0.3146, ARI 0.1496, Δlabel 0.0056
Iter 051: Acc 0.5048, NMI 0.3140, ARI 0.1498, Δlabel 0.0038
Iter 054: Acc 0.5028, NMI 0.3096, ARI 0.1436, Δlabel 0.0064
Iter 057: Acc 0.5026, NMI 0.3070, ARI 0.1403, Δlabel 0.0036
Iter 060: Acc 0.5011, NMI 0.3038, ARI 0.1357, Δlabel 0.0048
Iter 063: Acc 0.5046, NMI 0.3021, ARI 0.1345, Δlabel 0.0057
Iter 066: Acc 0.4963, NMI 0.2947, ARI 0.1225, Δlabel 0.0157
Iter 069: Acc 0.5062, NMI 0.2979, ARI 0.1297, Δlabel 0.0126
Iter 072: Acc 0.4948, NMI 0.2883, ARI 0.1135, Δlabel 0.0214
Iter 075: Acc 0.5011, NMI 0.2892, ARI 0.1167, Δlabel 0.0068
Iter 078: Acc 0.5096, NMI 0.2918, ARI 0.1229, Δlabel 0.0106
Iter 081: Acc 0.5451, NMI 0.3193, ARI 0.1713, Δlabel 0.0613
Iter 084: Acc 0.5578, NMI 0.3347, ARI 0.1950, Δlabel 0.0262
Iter 087: Acc 0.5691, NMI 0.3446, ARI 0.2116, Δlabel 0.0189
Iter 090: Acc 0.5561, NMI 0.3289, ARI 0.1876, Δlabel 0.0260
Iter 093: Acc 0.5638, NMI 0.3394, ARI 0.2032, Δlabel 0.0167
Iter 096: Acc 0.5599, NMI 0.3368, ARI 0.1984, Δlabel 0.0058
Iter 099: Acc 0.5660, NMI 0.3450, ARI 0.2105, Δlabel 0.0129
