========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_3_dense_3_dense_3
pretrain_path: data/sparse_3_dense_3_dense_3/ae_gamma_0.5_nz_10_update_3.pkl
gamma: 0.5
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.9556, NMI 0.8512, ARI 0.8733, Δlabel 0.0000
Iter 003: Acc 0.8833, NMI 0.7227, ARI 0.7008, Δlabel 0.0744
Iter 006: Acc 0.8967, NMI 0.7442, ARI 0.7301, Δlabel 0.0133
Iter 009: Acc 0.8967, NMI 0.7452, ARI 0.7304, Δlabel 0.0022
Iter 012: Acc 0.8900, NMI 0.7379, ARI 0.7169, Δlabel 0.0089
Iter 015: Acc 0.9000, NMI 0.7528, ARI 0.7385, Δlabel 0.0100
Iter 018: Acc 0.9000, NMI 0.7540, ARI 0.7389, Δlabel 0.0044
Iter 021: Acc 0.9056, NMI 0.7614, ARI 0.7509, Δlabel 0.0056
Iter 024: Acc 0.9233, NMI 0.7888, ARI 0.7917, Δlabel 0.0178
Iter 027: Acc 0.9067, NMI 0.7641, ARI 0.7537, Δlabel 0.0167
Iter 030: Acc 0.9078, NMI 0.7657, ARI 0.7561, Δlabel 0.0011
Iter 033: Acc 0.9289, NMI 0.8010, ARI 0.8056, Δlabel 0.0211
Iter 036: Acc 0.9400, NMI 0.8203, ARI 0.8329, Δlabel 0.0111
Iter 039: Acc 0.9433, NMI 0.8274, ARI 0.8415, Δlabel 0.0033
Iter 042: Acc 0.9489, NMI 0.8383, ARI 0.8558, Δlabel 0.0056
Iter 045: Acc 0.9544, NMI 0.8506, ARI 0.8705, Δlabel 0.0056
Iter 048: Acc 0.9556, NMI 0.8538, ARI 0.8735, Δlabel 0.0011
Iter 051: Acc 0.9556, NMI 0.8538, ARI 0.8735, Δlabel 0.0000
