========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_8_dense_1_dense_1
pretrain_path: data/sparse_8_dense_1_dense_1/ae_gamma_1.0_nz_10_update_3.pkl
gamma: 1.0
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.5056, NMI 0.5148, ARI 0.3402, Δlabel 0.0000
Iter 003: Acc 0.5022, NMI 0.4622, ARI 0.3026, Δlabel 0.0367
Iter 006: Acc 0.4900, NMI 0.4475, ARI 0.2894, Δlabel 0.0144
Iter 009: Acc 0.4822, NMI 0.4474, ARI 0.2891, Δlabel 0.0167
Iter 012: Acc 0.4889, NMI 0.4384, ARI 0.2814, Δlabel 0.0111
Iter 015: Acc 0.5056, NMI 0.4411, ARI 0.2854, Δlabel 0.0200
Iter 018: Acc 0.5189, NMI 0.4440, ARI 0.2900, Δlabel 0.0144
Iter 021: Acc 0.5333, NMI 0.4472, ARI 0.2959, Δlabel 0.0178
Iter 024: Acc 0.5344, NMI 0.4519, ARI 0.2999, Δlabel 0.0056
Iter 027: Acc 0.5478, NMI 0.4485, ARI 0.3011, Δlabel 0.0156
Iter 030: Acc 0.5633, NMI 0.4458, ARI 0.3045, Δlabel 0.0178
Iter 033: Acc 0.5611, NMI 0.4616, ARI 0.3159, Δlabel 0.0100
Iter 036: Acc 0.5556, NMI 0.4563, ARI 0.3098, Δlabel 0.0078
Iter 039: Acc 0.5656, NMI 0.4528, ARI 0.3109, Δlabel 0.0122
Iter 042: Acc 0.5722, NMI 0.4560, ARI 0.3161, Δlabel 0.0078
Iter 045: Acc 0.5689, NMI 0.4510, ARI 0.3108, Δlabel 0.0056
Iter 048: Acc 0.5733, NMI 0.4538, ARI 0.3150, Δlabel 0.0056
Iter 051: Acc 0.5689, NMI 0.4422, ARI 0.3038, Δlabel 0.0100
Iter 054: Acc 0.5778, NMI 0.4456, ARI 0.3106, Δlabel 0.0100
Iter 057: Acc 0.5678, NMI 0.4337, ARI 0.2964, Δlabel 0.0156
Iter 060: Acc 0.5800, NMI 0.4416, ARI 0.3085, Δlabel 0.0156
Iter 063: Acc 0.5689, NMI 0.4318, ARI 0.2953, Δlabel 0.0156
Iter 066: Acc 0.5733, NMI 0.4265, ARI 0.2928, Δlabel 0.0078
Iter 069: Acc 0.5722, NMI 0.4244, ARI 0.2904, Δlabel 0.0022
Iter 072: Acc 0.5689, NMI 0.4182, ARI 0.2836, Δlabel 0.0067
Iter 075: Acc 0.5689, NMI 0.4163, ARI 0.2819, Δlabel 0.0011
Iter 078: Acc 0.5678, NMI 0.4144, ARI 0.2796, Δlabel 0.0022
Iter 081: Acc 0.5689, NMI 0.4091, ARI 0.2754, Δlabel 0.0044
Iter 084: Acc 0.5667, NMI 0.4018, ARI 0.2677, Δlabel 0.0067
Iter 087: Acc 0.5633, NMI 0.3980, ARI 0.2626, Δlabel 0.0056
Iter 090: Acc 0.5589, NMI 0.3845, ARI 0.2476, Δlabel 0.0133
Iter 093: Acc 0.5544, NMI 0.3763, ARI 0.2374, Δlabel 0.0100
Iter 096: Acc 0.5467, NMI 0.3623, ARI 0.2197, Δlabel 0.0178
Iter 099: Acc 0.5322, NMI 0.3526, ARI 0.2036, Δlabel 0.0211
