========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_8_dense_1_dense_1
pretrain_path: data/sparse_8_dense_1_dense_1/ae_gamma_0.05_nz_10_update_3.pkl
gamma: 0.05
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.5622, NMI 0.4934, ARI 0.3388, Δlabel 0.0000
Iter 003: Acc 0.5022, NMI 0.5080, ARI 0.3357, Δlabel 0.0978
Iter 006: Acc 0.5622, NMI 0.5024, ARI 0.3446, Δlabel 0.0911
Iter 009: Acc 0.5578, NMI 0.4817, ARI 0.3293, Δlabel 0.0133
Iter 012: Acc 0.5656, NMI 0.4598, ARI 0.3163, Δlabel 0.0278
Iter 015: Acc 0.5700, NMI 0.4557, ARI 0.3150, Δlabel 0.0089
Iter 018: Acc 0.5711, NMI 0.4513, ARI 0.3120, Δlabel 0.0056
Iter 021: Acc 0.5744, NMI 0.4387, ARI 0.3035, Δlabel 0.0167
Iter 024: Acc 0.5456, NMI 0.4439, ARI 0.2965, Δlabel 0.0378
Iter 027: Acc 0.5333, NMI 0.4472, ARI 0.2959, Δlabel 0.0167
Iter 030: Acc 0.5822, NMI 0.4645, ARI 0.3271, Δlabel 0.0489
Iter 033: Acc 0.5667, NMI 0.4623, ARI 0.3186, Δlabel 0.0156
Iter 036: Acc 0.5622, NMI 0.4570, ARI 0.3128, Δlabel 0.0044
Iter 039: Acc 0.5533, NMI 0.4491, ARI 0.3034, Δlabel 0.0089
Iter 042: Acc 0.5500, NMI 0.4443, ARI 0.2983, Δlabel 0.0033
Iter 045: Acc 0.5467, NMI 0.4396, ARI 0.2934, Δlabel 0.0033
Iter 048: Acc 0.5311, NMI 0.4382, ARI 0.2877, Δlabel 0.0156
Iter 051: Acc 0.5267, NMI 0.4358, ARI 0.2845, Δlabel 0.0044
Iter 054: Acc 0.5256, NMI 0.4357, ARI 0.2842, Δlabel 0.0011
Iter 057: Acc 0.5133, NMI 0.4415, ARI 0.2868, Δlabel 0.0189
Iter 060: Acc 0.5078, NMI 0.4390, ARI 0.2838, Δlabel 0.0056
Iter 063: Acc 0.4978, NMI 0.4386, ARI 0.2823, Δlabel 0.0100
Iter 066: Acc 0.4856, NMI 0.4498, ARI 0.2912, Δlabel 0.0233
Iter 069: Acc 0.4844, NMI 0.4498, ARI 0.2911, Δlabel 0.0133
Iter 072: Acc 0.5011, NMI 0.4597, ARI 0.3005, Δlabel 0.0211
Iter 075: Acc 0.5278, NMI 0.4660, ARI 0.3094, Δlabel 0.0289
Iter 078: Acc 0.5056, NMI 0.4623, ARI 0.3030, Δlabel 0.0233
Iter 081: Acc 0.5156, NMI 0.4628, ARI 0.3047, Δlabel 0.0100
Iter 084: Acc 0.5178, NMI 0.4629, ARI 0.3051, Δlabel 0.0022
Iter 087: Acc 0.5244, NMI 0.4633, ARI 0.3067, Δlabel 0.0067
Iter 090: Acc 0.5300, NMI 0.4661, ARI 0.3100, Δlabel 0.0067
Iter 093: Acc 0.5456, NMI 0.4778, ARI 0.3226, Δlabel 0.0200
Iter 096: Acc 0.5533, NMI 0.4812, ARI 0.3275, Δlabel 0.0089
Iter 099: Acc 0.5367, NMI 0.4797, ARI 0.3217, Δlabel 0.0167
