========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_3_dense_3_dense_3
pretrain_path: data/sparse_3_dense_3_dense_3/ae_gamma_0.1_nz_10_update_3.pkl
gamma: 0.1
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.4933, NMI 0.5863, ARI 0.4051, Δlabel 0.0000
Iter 003: Acc 0.4956, NMI 0.5864, ARI 0.4051, Δlabel 0.0022
Iter 006: Acc 0.4922, NMI 0.5747, ARI 0.3957, Δlabel 0.0056
Iter 009: Acc 0.4933, NMI 0.5532, ARI 0.3776, Δlabel 0.0078
Iter 012: Acc 0.4944, NMI 0.5637, ARI 0.3866, Δlabel 0.0044
Iter 015: Acc 0.4933, NMI 0.5567, ARI 0.3806, Δlabel 0.0033
Iter 018: Acc 0.4956, NMI 0.5602, ARI 0.3837, Δlabel 0.0033
Iter 021: Acc 0.4967, NMI 0.5568, ARI 0.3807, Δlabel 0.0022
Iter 024: Acc 0.4967, NMI 0.5674, ARI 0.3898, Δlabel 0.0056
Iter 027: Acc 0.5011, NMI 0.5569, ARI 0.3812, Δlabel 0.0078
Iter 030: Acc 0.5022, NMI 0.5749, ARI 0.3963, Δlabel 0.0067
Iter 033: Acc 0.5067, NMI 0.5642, ARI 0.3879, Δlabel 0.0078
Iter 036: Acc 0.5100, NMI 0.5753, ARI 0.3973, Δlabel 0.0067
Iter 039: Acc 0.5122, NMI 0.5755, ARI 0.3977, Δlabel 0.0022
Iter 042: Acc 0.5156, NMI 0.5758, ARI 0.3985, Δlabel 0.0033
Iter 045: Acc 0.5222, NMI 0.5765, ARI 0.4002, Δlabel 0.0067
Iter 048: Acc 0.5322, NMI 0.5778, ARI 0.4036, Δlabel 0.0100
Iter 051: Acc 0.5256, NMI 0.5769, ARI 0.4012, Δlabel 0.0067
Iter 054: Acc 0.4911, NMI 0.5637, ARI 0.3865, Δlabel 0.0389
Iter 057: Acc 0.4889, NMI 0.5367, ARI 0.3626, Δlabel 0.0089
Iter 060: Acc 0.5122, NMI 0.5755, ARI 0.3977, Δlabel 0.0344
Iter 063: Acc 0.5133, NMI 0.5756, ARI 0.3980, Δlabel 0.0011
Iter 066: Acc 0.5178, NMI 0.5760, ARI 0.3990, Δlabel 0.0044
Iter 069: Acc 0.5222, NMI 0.5765, ARI 0.4002, Δlabel 0.0044
Iter 072: Acc 0.5244, NMI 0.5767, ARI 0.4008, Δlabel 0.0022
Iter 075: Acc 0.5244, NMI 0.5767, ARI 0.4008, Δlabel 0.0000
