========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_8_dense_1_dense_1_10
pretrain_path: data/sparse_8_dense_1_dense_1_10/ae_gamma_0.05_nz_10_update_3.pkl
gamma: 0.05
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.5031, NMI 0.4899, ARI 0.3241, Δlabel 0.0000
Iter 003: Acc 0.5127, NMI 0.4425, ARI 0.2882, Δlabel 0.0473
Iter 006: Acc 0.4892, NMI 0.4110, ARI 0.2563, Δlabel 0.0282
Iter 009: Acc 0.4767, NMI 0.4068, ARI 0.2513, Δlabel 0.0363
Iter 012: Acc 0.4884, NMI 0.4033, ARI 0.2486, Δlabel 0.0166
Iter 015: Acc 0.4966, NMI 0.4095, ARI 0.2556, Δlabel 0.0110
Iter 018: Acc 0.5082, NMI 0.4138, ARI 0.2615, Δlabel 0.0141
Iter 021: Acc 0.5279, NMI 0.4203, ARI 0.2717, Δlabel 0.0239
Iter 024: Acc 0.5176, NMI 0.3961, ARI 0.2460, Δlabel 0.0246
Iter 027: Acc 0.5098, NMI 0.3908, ARI 0.2390, Δlabel 0.0109
Iter 030: Acc 0.5056, NMI 0.3882, ARI 0.2355, Δlabel 0.0069
Iter 033: Acc 0.5043, NMI 0.3878, ARI 0.2349, Δlabel 0.0028
Iter 036: Acc 0.5061, NMI 0.3938, ARI 0.2414, Δlabel 0.0057
Iter 039: Acc 0.5096, NMI 0.3968, ARI 0.2450, Δlabel 0.0061
Iter 042: Acc 0.5157, NMI 0.4015, ARI 0.2511, Δlabel 0.0089
Iter 045: Acc 0.5217, NMI 0.4063, ARI 0.2570, Δlabel 0.0087
Iter 048: Acc 0.5274, NMI 0.4130, ARI 0.2648, Δlabel 0.0096
Iter 051: Acc 0.5337, NMI 0.4165, ARI 0.2698, Δlabel 0.0080
Iter 054: Acc 0.5393, NMI 0.4203, ARI 0.2749, Δlabel 0.0076
Iter 057: Acc 0.5441, NMI 0.4267, ARI 0.2821, Δlabel 0.0081
Iter 060: Acc 0.5491, NMI 0.4296, ARI 0.2863, Δlabel 0.0063
Iter 063: Acc 0.5518, NMI 0.4309, ARI 0.2883, Δlabel 0.0032
Iter 066: Acc 0.5548, NMI 0.4329, ARI 0.2911, Δlabel 0.0041
Iter 069: Acc 0.5530, NMI 0.4337, ARI 0.2912, Δlabel 0.0030
Iter 072: Acc 0.5538, NMI 0.4349, ARI 0.2924, Δlabel 0.0022
Iter 075: Acc 0.5516, NMI 0.4348, ARI 0.2916, Δlabel 0.0041
Iter 078: Acc 0.5529, NMI 0.4366, ARI 0.2936, Δlabel 0.0024
Iter 081: Acc 0.5517, NMI 0.4367, ARI 0.2932, Δlabel 0.0024
Iter 084: Acc 0.5520, NMI 0.4363, ARI 0.2930, Δlabel 0.0006
