========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_8_dense_1_dense_1_10
pretrain_path: data/sparse_8_dense_1_dense_1_10/ae_gamma_0.2_nz_10_update_3.pkl
gamma: 0.2
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.4874, NMI 0.4871, ARI 0.3214, Δlabel 0.0000
Iter 003: Acc 0.4277, NMI 0.2713, ARI 0.0775, Δlabel 0.1918
Iter 006: Acc 0.4198, NMI 0.2576, ARI 0.0561, Δlabel 0.0522
Iter 009: Acc 0.4873, NMI 0.3141, ARI 0.1454, Δlabel 0.0988
Iter 012: Acc 0.5232, NMI 0.3627, ARI 0.2125, Δlabel 0.0611
Iter 015: Acc 0.5394, NMI 0.3866, ARI 0.2428, Δlabel 0.0278
Iter 018: Acc 0.5673, NMI 0.4071, ARI 0.2735, Δlabel 0.0351
Iter 021: Acc 0.5811, NMI 0.4208, ARI 0.2922, Δlabel 0.0189
Iter 024: Acc 0.5921, NMI 0.4364, ARI 0.3110, Δlabel 0.0179
Iter 027: Acc 0.5862, NMI 0.4358, ARI 0.3074, Δlabel 0.0070
Iter 030: Acc 0.5959, NMI 0.4716, ARI 0.3398, Δlabel 0.0262
Iter 033: Acc 0.5849, NMI 0.4439, ARI 0.3132, Δlabel 0.0233
Iter 036: Acc 0.5856, NMI 0.4612, ARI 0.3269, Δlabel 0.0093
Iter 039: Acc 0.5954, NMI 0.4848, ARI 0.3486, Δlabel 0.0196
Iter 042: Acc 0.6006, NMI 0.4965, ARI 0.3589, Δlabel 0.0092
Iter 045: Acc 0.5974, NMI 0.5066, ARI 0.3634, Δlabel 0.0071
Iter 048: Acc 0.5940, NMI 0.5138, ARI 0.3658, Δlabel 0.0064
Iter 051: Acc 0.5976, NMI 0.5157, ARI 0.3688, Δlabel 0.0040
Iter 054: Acc 0.5943, NMI 0.5214, ARI 0.3703, Δlabel 0.0053
Iter 057: Acc 0.5892, NMI 0.5230, ARI 0.3686, Δlabel 0.0059
Iter 060: Acc 0.5887, NMI 0.5239, ARI 0.3689, Δlabel 0.0013
Iter 063: Acc 0.5879, NMI 0.5245, ARI 0.3688, Δlabel 0.0014
Iter 066: Acc 0.5887, NMI 0.5250, ARI 0.3694, Δlabel 0.0009
