========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 2
batch_size: 256
n_z: 10
dataset: one_gaussian_10_one_line_5_2
pretrain_path: data/one_gaussian_10_one_line_5_2/ae_gamma_0.01_nz_10_update_3.pkl
gamma: 0.01
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.9393, NMI 0.7265, ARI 0.7717, Δlabel 0.0000
Iter 003: Acc 0.8886, NMI 0.5919, ARI 0.6037, Δlabel 0.0507
Iter 006: Acc 0.8743, NMI 0.5600, ARI 0.5601, Δlabel 0.0143
Iter 009: Acc 0.8693, NMI 0.5494, ARI 0.5452, Δlabel 0.0050
Iter 012: Acc 0.9257, NMI 0.6864, ARI 0.7247, Δlabel 0.0564
Iter 015: Acc 0.9129, NMI 0.6514, ARI 0.6816, Δlabel 0.0129
Iter 018: Acc 0.9414, NMI 0.7332, ARI 0.7793, Δlabel 0.0286
Iter 021: Acc 0.9329, NMI 0.7070, ARI 0.7493, Δlabel 0.0086
Iter 024: Acc 0.9486, NMI 0.7563, ARI 0.8047, Δlabel 0.0157
Iter 027: Acc 0.9393, NMI 0.7265, ARI 0.7717, Δlabel 0.0093
Iter 030: Acc 0.9514, NMI 0.7659, ARI 0.8150, Δlabel 0.0121
Iter 033: Acc 0.9486, NMI 0.7563, ARI 0.8047, Δlabel 0.0029
Iter 036: Acc 0.9593, NMI 0.7935, ARI 0.8437, Δlabel 0.0107
Iter 039: Acc 0.9571, NMI 0.7858, ARI 0.8358, Δlabel 0.0021
Iter 042: Acc 0.9443, NMI 0.7423, ARI 0.7894, Δlabel 0.0129
Iter 045: Acc 0.9364, NMI 0.7177, ARI 0.7617, Δlabel 0.0079
Iter 048: Acc 0.9557, NMI 0.7807, ARI 0.8306, Δlabel 0.0193
Iter 051: Acc 0.9129, NMI 0.6514, ARI 0.6816, Δlabel 0.0429
Iter 054: Acc 0.9257, NMI 0.6864, ARI 0.7247, Δlabel 0.0129
Iter 057: Acc 0.9493, NMI 0.7586, ARI 0.8073, Δlabel 0.0236
Iter 060: Acc 0.9443, NMI 0.7423, ARI 0.7894, Δlabel 0.0050
Iter 063: Acc 0.9479, NMI 0.7539, ARI 0.8022, Δlabel 0.0036
Iter 066: Acc 0.9493, NMI 0.7586, ARI 0.8073, Δlabel 0.0014
Iter 069: Acc 0.9500, NMI 0.7610, ARI 0.8099, Δlabel 0.0007
