========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 2
batch_size: 256
n_z: 10
dataset: one_gaussian_10_one_line_5_2_10
pretrain_path: data/one_gaussian_10_one_line_5_2_10/ae_gamma_0.5_nz_10_update_3.pkl
gamma: 0.5
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.9351, NMI 0.7131, ARI 0.7574, Δlabel 0.0000
Iter 003: Acc 0.9467, NMI 0.7466, ARI 0.7982, Δlabel 0.0123
Iter 006: Acc 0.9579, NMI 0.7802, ARI 0.8385, Δlabel 0.0129
Iter 009: Acc 0.9666, NMI 0.8127, ARI 0.8707, Δlabel 0.0090
Iter 012: Acc 0.9696, NMI 0.8224, ARI 0.8822, Δlabel 0.0045
Iter 015: Acc 0.9712, NMI 0.8259, ARI 0.8882, Δlabel 0.0034
Iter 018: Acc 0.9710, NMI 0.8193, ARI 0.8874, Δlabel 0.0044
Iter 021: Acc 0.9704, NMI 0.8140, ARI 0.8852, Δlabel 0.0024
Iter 024: Acc 0.9695, NMI 0.8065, ARI 0.8817, Δlabel 0.0038
Iter 027: Acc 0.9679, NMI 0.7965, ARI 0.8758, Δlabel 0.0047
Iter 030: Acc 0.9661, NMI 0.7863, ARI 0.8689, Δlabel 0.0054
Iter 033: Acc 0.9639, NMI 0.7758, ARI 0.8606, Δlabel 0.0042
Iter 036: Acc 0.9616, NMI 0.7658, ARI 0.8524, Δlabel 0.0032
Iter 039: Acc 0.9604, NMI 0.7609, ARI 0.8480, Δlabel 0.0028
Iter 042: Acc 0.9589, NMI 0.7543, ARI 0.8422, Δlabel 0.0021
Iter 045: Acc 0.9570, NMI 0.7468, ARI 0.8354, Δlabel 0.0024
Iter 048: Acc 0.9562, NMI 0.7437, ARI 0.8325, Δlabel 0.0012
Iter 051: Acc 0.9556, NMI 0.7412, ARI 0.8302, Δlabel 0.0008
