========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_3_dense_3_dense_3
pretrain_path: data/sparse_3_dense_3_dense_3/ae_gamma_0.01_nz_10_update_3.pkl
gamma: 0.01
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.5089, NMI 0.5949, ARI 0.4124, Δlabel 0.0000
Iter 003: Acc 0.4989, NMI 0.6222, ARI 0.4306, Δlabel 0.0233
Iter 006: Acc 0.5111, NMI 0.6226, ARI 0.4314, Δlabel 0.0122
Iter 009: Acc 0.5044, NMI 0.6277, ARI 0.4340, Δlabel 0.0089
Iter 012: Acc 0.5122, NMI 0.6280, ARI 0.4347, Δlabel 0.0078
Iter 015: Acc 0.5133, NMI 0.6280, ARI 0.4349, Δlabel 0.0011
Iter 018: Acc 0.5144, NMI 0.6129, ARI 0.4256, Δlabel 0.0078
Iter 021: Acc 0.5167, NMI 0.6131, ARI 0.4260, Δlabel 0.0022
Iter 024: Acc 0.5233, NMI 0.6137, ARI 0.4275, Δlabel 0.0067
Iter 027: Acc 0.5289, NMI 0.6097, ARI 0.4260, Δlabel 0.0078
Iter 030: Acc 0.5367, NMI 0.6109, ARI 0.4287, Δlabel 0.0078
Iter 033: Acc 0.5422, NMI 0.6118, ARI 0.4310, Δlabel 0.0056
Iter 036: Acc 0.5456, NMI 0.6038, ARI 0.4266, Δlabel 0.0078
Iter 039: Acc 0.5489, NMI 0.5963, ARI 0.4225, Δlabel 0.0078
Iter 042: Acc 0.5500, NMI 0.5965, ARI 0.4231, Δlabel 0.0011
Iter 045: Acc 0.5511, NMI 0.5890, ARI 0.4181, Δlabel 0.0056
Iter 048: Acc 0.5522, NMI 0.5893, ARI 0.4187, Δlabel 0.0011
Iter 051: Acc 0.5589, NMI 0.5872, ARI 0.4199, Δlabel 0.0089
Iter 054: Acc 0.5600, NMI 0.5875, ARI 0.4206, Δlabel 0.0011
Iter 057: Acc 0.5600, NMI 0.5803, ARI 0.4151, Δlabel 0.0044
Iter 060: Acc 0.5656, NMI 0.5750, ARI 0.4135, Δlabel 0.0100
Iter 063: Acc 0.5711, NMI 0.5768, ARI 0.4176, Δlabel 0.0056
Iter 066: Acc 0.5733, NMI 0.5742, ARI 0.4167, Δlabel 0.0044
Iter 069: Acc 0.5722, NMI 0.5738, ARI 0.4158, Δlabel 0.0011
Iter 072: Acc 0.5733, NMI 0.5742, ARI 0.4167, Δlabel 0.0011
Iter 075: Acc 0.5767, NMI 0.5789, ARI 0.4220, Δlabel 0.0033
Iter 078: Acc 0.5767, NMI 0.5789, ARI 0.4220, Δlabel 0.0000
