========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 2
batch_size: 256
n_z: 10
dataset: one_gaussian_10_one_line_5_2_10
pretrain_path: data/one_gaussian_10_one_line_5_2_10/ae_gamma_0.01_nz_10_update_3.pkl
gamma: 0.01
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.9281, NMI 0.6933, ARI 0.7332, Δlabel 0.0000
Iter 003: Acc 0.9414, NMI 0.7332, ARI 0.7794, Δlabel 0.0133
Iter 006: Acc 0.9545, NMI 0.7757, ARI 0.8263, Δlabel 0.0132
Iter 009: Acc 0.9630, NMI 0.8066, ARI 0.8575, Δlabel 0.0085
Iter 012: Acc 0.9676, NMI 0.8246, ARI 0.8748, Δlabel 0.0046
Iter 015: Acc 0.9710, NMI 0.8371, ARI 0.8874, Δlabel 0.0036
Iter 018: Acc 0.9734, NMI 0.8460, ARI 0.8963, Δlabel 0.0026
Iter 021: Acc 0.9756, NMI 0.8540, ARI 0.9047, Δlabel 0.0028
Iter 024: Acc 0.9770, NMI 0.8575, ARI 0.9101, Δlabel 0.0027
Iter 027: Acc 0.9789, NMI 0.8624, ARI 0.9172, Δlabel 0.0040
Iter 030: Acc 0.9784, NMI 0.8537, ARI 0.9153, Δlabel 0.0052
Iter 033: Acc 0.9746, NMI 0.8302, ARI 0.9011, Δlabel 0.0061
Iter 036: Acc 0.9686, NMI 0.7986, ARI 0.8782, Δlabel 0.0072
Iter 039: Acc 0.9617, NMI 0.7679, ARI 0.8527, Δlabel 0.0090
Iter 042: Acc 0.9552, NMI 0.7417, ARI 0.8289, Δlabel 0.0078
Iter 045: Acc 0.9516, NMI 0.7285, ARI 0.8157, Δlabel 0.0051
Iter 048: Acc 0.9449, NMI 0.7057, ARI 0.7918, Δlabel 0.0084
Iter 051: Acc 0.9421, NMI 0.6968, ARI 0.7819, Δlabel 0.0038
Iter 054: Acc 0.9386, NMI 0.6862, ARI 0.7696, Δlabel 0.0046
Iter 057: Acc 0.9365, NMI 0.6806, ARI 0.7621, Δlabel 0.0034
Iter 060: Acc 0.9321, NMI 0.6674, ARI 0.7467, Δlabel 0.0051
Iter 063: Acc 0.9302, NMI 0.6629, ARI 0.7403, Δlabel 0.0029
Iter 066: Acc 0.9266, NMI 0.6528, ARI 0.7281, Δlabel 0.0041
Iter 069: Acc 0.9263, NMI 0.6543, ARI 0.7269, Δlabel 0.0038
Iter 072: Acc 0.9241, NMI 0.6488, ARI 0.7196, Δlabel 0.0027
Iter 075: Acc 0.9226, NMI 0.6459, ARI 0.7145, Δlabel 0.0025
Iter 078: Acc 0.9203, NMI 0.6410, ARI 0.7065, Δlabel 0.0035
Iter 081: Acc 0.9190, NMI 0.6391, ARI 0.7022, Δlabel 0.0023
Iter 084: Acc 0.9163, NMI 0.6330, ARI 0.6932, Δlabel 0.0036
Iter 087: Acc 0.9142, NMI 0.6289, ARI 0.6863, Δlabel 0.0029
Iter 090: Acc 0.9131, NMI 0.6283, ARI 0.6825, Δlabel 0.0024
Iter 093: Acc 0.9116, NMI 0.6250, ARI 0.6778, Δlabel 0.0017
Iter 096: Acc 0.9112, NMI 0.6259, ARI 0.6764, Δlabel 0.0016
Iter 099: Acc 0.9096, NMI 0.6227, ARI 0.6712, Δlabel 0.0020
