========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 10
dataset: sparse_3_dense_3_dense_3
pretrain_path: data/sparse_3_dense_3_dense_3/ae_gamma_1.0_nz_10_update_3.pkl
gamma: 1.0
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

Iter 000: Acc 0.9456, NMI 0.8289, ARI 0.8470, Δlabel 0.0000
Iter 003: Acc 0.9133, NMI 0.7630, ARI 0.7657, Δlabel 0.0389
Iter 006: Acc 0.9411, NMI 0.8176, ARI 0.8349, Δlabel 0.0278
Iter 009: Acc 0.8978, NMI 0.7477, ARI 0.7331, Δlabel 0.0478
Iter 012: Acc 0.8056, NMI 0.6623, ARI 0.5821, Δlabel 0.0922
Iter 015: Acc 0.7722, NMI 0.6479, ARI 0.5517, Δlabel 0.0356
Iter 018: Acc 0.7733, NMI 0.6519, ARI 0.5551, Δlabel 0.0078
Iter 021: Acc 0.7889, NMI 0.6604, ARI 0.5693, Δlabel 0.0156
Iter 024: Acc 0.8022, NMI 0.6691, ARI 0.5836, Δlabel 0.0133
Iter 027: Acc 0.8222, NMI 0.6813, ARI 0.6069, Δlabel 0.0200
Iter 030: Acc 0.8344, NMI 0.6899, ARI 0.6233, Δlabel 0.0122
Iter 033: Acc 0.8722, NMI 0.7317, ARI 0.6875, Δlabel 0.0378
Iter 036: Acc 0.8833, NMI 0.7470, ARI 0.7091, Δlabel 0.0111
Iter 039: Acc 0.9044, NMI 0.7754, ARI 0.7525, Δlabel 0.0211
Iter 042: Acc 0.9256, NMI 0.8081, ARI 0.8000, Δlabel 0.0211
Iter 045: Acc 0.9400, NMI 0.8328, ARI 0.8349, Δlabel 0.0144
Iter 048: Acc 0.9522, NMI 0.8547, ARI 0.8657, Δlabel 0.0122
Iter 051: Acc 0.9511, NMI 0.8526, ARI 0.8628, Δlabel 0.0011
Iter 054: Acc 0.9522, NMI 0.8547, ARI 0.8657, Δlabel 0.0011
Iter 057: Acc 0.9522, NMI 0.8565, ARI 0.8659, Δlabel 0.0022
Iter 060: Acc 0.9467, NMI 0.8486, ARI 0.8520, Δlabel 0.0078
Iter 063: Acc 0.9522, NMI 0.8586, ARI 0.8661, Δlabel 0.0056
Iter 066: Acc 0.9633, NMI 0.8853, ARI 0.8956, Δlabel 0.0111
Iter 069: Acc 0.9644, NMI 0.8832, ARI 0.8985, Δlabel 0.0033
Iter 072: Acc 0.9733, NMI 0.9034, ARI 0.9227, Δlabel 0.0089
Iter 075: Acc 0.9622, NMI 0.8786, ARI 0.8925, Δlabel 0.0111
Iter 078: Acc 0.9589, NMI 0.8718, ARI 0.8837, Δlabel 0.0033
Iter 081: Acc 0.9556, NMI 0.8653, ARI 0.8750, Δlabel 0.0033
Iter 084: Acc 0.9789, NMI 0.9152, ARI 0.9382, Δlabel 0.0256
Iter 087: Acc 0.9622, NMI 0.8786, ARI 0.8925, Δlabel 0.0189
Iter 090: Acc 0.9767, NMI 0.9092, ARI 0.9320, Δlabel 0.0167
Iter 093: Acc 0.9789, NMI 0.9152, ARI 0.9382, Δlabel 0.0022
Iter 096: Acc 0.9533, NMI 0.8611, ARI 0.8692, Δlabel 0.0278
Iter 099: Acc 0.9822, NMI 0.9169, ARI 0.9476, Δlabel 0.0400
